PassengerId,Survived,Age_categories_Missing,Age_categories_Infant,Age_categories_Child,Age_categories_Teenager,Age_categories_Young Adult,Age_categories_Adult,Age_categories_Senior,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,SibSp_scaled,Parch_scaled,Fare_scaled,Fare_categories_0-12,Fare_categories_12-50,Fare_categories_50-100,Fare_categories_100+,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,Cabin_type_A,Cabin_type_B,Cabin_type_C,Cabin_type_D,Cabin_type_E,Cabin_type_F,Cabin_type_G,Cabin_type_T,Cabin_type_Unknown
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.125,0.0,0.014151057562208049,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.125,0.0,0.13913573538264068,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.015468569817999833,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.125,0.0,0.10364429745562033,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
6,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0,0.0,0.01650950209357577,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.0,0.0,0.10122885832000206,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.375,0.16666666666666666,0.04113566043083236,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0,0.3333333333333333,0.021730754366528396,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0.125,0.0,0.058694292654020104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0.125,0.16666666666666666,0.03259622914329302,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0,0.0,0.051822148727810165,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.125,0.8333333333333333,0.06104473451835265,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.015330377421392339,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0.0,0.0,0.03122992013728673,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
17,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.5,0.16666666666666666,0.05684821399990475,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
19,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.125,0.0,0.03513366015444757,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0,0.0,0.014102260811993537,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.050748620223090936,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
23,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.015671954672893913,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.06929138530460494,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.375,0.16666666666666666,0.04113566043083236,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.125,0.8333333333333333,0.06126431989431795,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
27,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.014102260811993537,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.375,0.3333333333333333,0.5133418122566507,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
29,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.01537917417160685,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
30,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,0.0,0.05410739813385612,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
32,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.125,0.0,0.2859895551532101,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
33,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.015126992566498259,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.0,0.0,0.020494635090094415,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0.125,0.0,0.16038672010106003,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.125,0.0,0.10149724044618187,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
37,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.014110458666029575,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
38,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
39,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.25,0.0,0.03513366015444757,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
40,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0.125,0.0,0.021942337075458514,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.125,0.0,0.018493968331299484,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
42,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.125,0.0,0.04098927018018883,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
44,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0.125,0.3333333333333333,0.08115719346076702,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
45,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.01537917417160685,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
46,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.125,0.0,0.030253985132996517,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.015126992566498259,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.25,0.0,0.04231498029001666,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
50,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.125,0.0,0.034743286152731485,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
51,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0.5,0.16666666666666666,0.07746484096553544,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.01522458606692728,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
53,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.125,0.0,0.1497654242623688,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
54,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.125,0.0,0.050748620223090936,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
55,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0.0,0.16666666666666666,0.1209753416358076,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
56,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.06929138530460494,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
57,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0,0.0,0.020494635090094415,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
58,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.014110458666029575,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
59,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0.125,0.3333333333333333,0.05416439273810667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
60,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0.625,0.3333333333333333,0.09154270340242172,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.014110458666029575,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
62,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0,0.0,0.15614960068643363,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
63,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.125,0.0,0.16293234896625058,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
64,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.375,0.3333333333333333,0.05445717323939373,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.05410739813385612,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
66,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.125,0.16666666666666666,0.029757819776815374,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0,0.0,0.020494635090094415,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
68,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015923941091001644,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
69,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.5,0.3333333333333333,0.015468569817999833,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
70,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.25,0.0,0.016908073949327893,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
71,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.020494635090094415,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
72,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.625,0.3333333333333333,0.09154270340242172,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
73,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.1434624456306609,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
74,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.125,0.0,0.028212719478023115,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
75,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.11027245763075773,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
76,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.014931805565640218,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
77,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
78,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
79,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.3333333333333333,0.056604230248832196,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.024349578357040744,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
81,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.017566830077223785,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
82,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.018542765081513996,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
83,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.015200187691820024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
84,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.09193307740413781,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
85,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.0,0.0,0.020494635090094415,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.375,0.0,0.030937139635999665,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
87,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.125,0.5,0.06709553154495196,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
88,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
89,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.375,0.3333333333333333,0.5133418122566507,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
91,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
92,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015330377421392339,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
93,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.125,0.0,0.11940564777490723,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
94,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.125,0.3333333333333333,0.04015972542654215,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
95,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0,0.0,0.014151057562208049,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
96,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
97,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0.0,0.0,0.06764049365134761,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
98,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0.0,0.16666666666666666,0.12366716556464086,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
99,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0,0.16666666666666666,0.044893010197349675,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
100,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.125,0.0,0.050748620223090936,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
101,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
102,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
103,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.16666666666666666,0.15085515328815924,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
104,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.016891873428256675,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
105,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.25,0.0,0.015468569817999833,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
106,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
107,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.014931805565640218,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
108,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015175789316712771,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
109,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
110,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.125,0.0,0.04713766070721715,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
111,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.0,0.0,0.10149724044618187,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
112,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0.125,0.0,0.028212719478023115,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
113,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
114,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.125,0.0,0.019177122834302632,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
115,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0.0,0.0,0.028220722145058292,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
116,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015468569817999833,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
117,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
118,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.125,0.0,0.04098927018018883,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
119,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0.0,0.16666666666666666,0.4831284260198326,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
120,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0.5,0.3333333333333333,0.06104473451835265,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
121,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.25,0.0,0.1434624456306609,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
122,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
123,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.125,0.0,0.058694292654020104,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
